gene_name,delta
AC007040.1,-14.7628927231
AC012072.1,8.2324256897
AC013477.1,-9.37722301483
AC018682.6,7.85135936737
AC074212.3,5.74651288986
AC097359.1,-8.2056388855
AC097523.2,11.7730197906
AC104695.3,-11.677069664
ACCN5,-11.4496355057
ACOT6,-5.83563518524
ADAMDEC1,7.99798727036
AL360169.1,5.47086524963
AL627443.1,-12.2212362289
AL773572.7,11.5372371674
AP000593.6,-7.17213582993
BCOR,-14.51583004
BX323014.1,-5.49037790298
C14orf86,9.73290729523
C4orf52,-6.32557010651
C5orf25,-9.22057914734
C8orf84,11.5775251389
CBL,14.6039113998
CBS,7.40078544617
CCDC134,-8.62181186676
CCDC58,-7.72951602936
CCDC7,-5.66330814362
CDHR4,-12.4626913071
CHST8,-6.56917476654
CRKL,-5.5156993866
CTC-426B10.1,-9.22954559326
CTD-2139B15.1,-12.5514583588
CTPS2,-6.05504608154
DAG1,6.16792297363
DDX24,-5.54023647308
DEPDC5,-9.22057914734
DGUOK,11.3684177399
DNAJC13,5.23461866379
DNTT,-5.66589784622
DOCK10,-6.6015663147
EXOSC7,-11.0873279572
FAM126A,-13.2053813934
FAM3B,11.4363002777
FAR2,-17.7065124512
FBXO39,10.0445785522
GLIPR2,10.2785215378
GORASP1,-5.94792985916
GPR101,-12.1252622604
GPR98,-6.71497869492
HMGB1P30,6.30847883224
HMHA1,-10.9424304962
HS3ST3A1,9.80812168121
IGHEP1,10.0883216858
IGHV3-49,-7.56969165802
IL11RA,8.15672683716
INPP5B,7.40831279755
KB-1562D12.2,6.14567756653
KCNJ16,6.81215286255
KCNJ2,-11.8925285339
LCE2B,-15.0307378769
LINC00311,7.19574165344
LRAT,-6.81858253479
LRPPRC,-5.37717882792
LRRC3,-6.64600944519
LY75,-11.5200996399
MAL2,8.1111831665
MAST4,-8.27077198029
MBD5,-6.42109298706
MIRLET7A3,-8.69385528564
MRPS11P1,-5.58496236801
MYL4,7.45249700546
NOD1,8.17230510712
NTN4,8.38443279266
NXPH1,-10.0102424622
OPN3,-5.63815641403
PDIA4,-9.11603736877
PELI1,-9.18251037598
PJA2,-15.3800268173
PMFBP1,-7.26456212997
POC5,-13.73462677
PPP1R9A,6.83061408997
PRDX6,-15.023932457
PSMA8,-5.84841489792
PTPRE,5.15431213379
RCN2,-7.45473194122
RGS2,-9.05138015747
RGS4,-12.148440361
RHBDL3,-8.55746459961
RP1-238O23.4,8.61106491089
RP1-276N6.2,-10.307103157
RP1-40E16.9,-5.26027774811
RP11-264E18.1,-7.33628511429
RP11-368I23.1,7.59991264343
RP11-373L8.2,9.36260223389
RP11-378A12.1,-6.17723989487
RP11-418J17.2,-12.1502342224
RP11-479A21.1,5.85039234161
RP11-567N4.3,8.29900932312
RP11-69G7.1,7.21183443069
RP11-723D22.2,10.779458046
RP11-723D22.3,-11.3296308517
RP11-863N1.1,-13.4795780182
RP11-89H19.1,8.35437393188
RP11-96C23.8,5.87318086624
RP13-188P24.2,5.60219526291
RP3-410B11.1,-19.6067714691
RP3-438O4.4,-5.91979789734
RP3-467K16.2,12.1599569321
RP4-803A2.2,6.90134572983
RP5-1024N4.1,7.42852735519
RSL24D1P11,16.8429203033
RTTN,-5.75299898783
S100A14,-6.77614275614
S100B,-9.01427745819
SDF4,-8.52237987518
SEC63P1,-13.2038002014
SEPSECS,-5.00799417496
SLC16A4,-7.17340373993
SLC25A14,-6.26650381088
SLC6A18,12.0714591344
SMAGP,7.94738006592
SMYD3-IT1,-7.05775547028
SNHG7,-5.58496284485
SPR,-15.8534212112
SPRR2E,-13.840927124
TACC1,5.65129852295
TAL1,-10.2893514633
TBC1D7,-16.5556144714
TBXA2R,-5.12119626999
TIAM2,-7.72951602936
TMEM123,-5.40231561661
TNS3,-5.65412521362
TRGJP1,-12.1021471024
TRIM55,12.1517648697
TYW1B,-5.79702997208
UCHL5,9.88421916962
XPR1,-6.5572514534
ZFP42,-6.48837518692
ZNF780B,-9.66596317291
