HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	Entrez Gene ID	Ensembl Gene ID	RefSeq IDs	Vega ID	OMIM ID(supplied by OMIM)	UniProt ID(supplied by UniProt)
HGNC:5	A1BG	alpha-1-B glycoprotein	Approved			19q13.43		1	ENSG00000121410	NM_130786	OTTHUMG00000183507	138670	P04217
HGNC:24086	A1CF	APOBEC1 complementation factor	Approved		ACF, ASP, ACF64, ACF65, APOBEC1CF	10q21.1	AF271790	29974	ENSG00000148584	NM_014576	OTTHUMG00000018240		Q9NQ94
HGNC:7	A2M	alpha-2-macroglobulin	Approved		FWP007, S863-7, CPAMD5	12p13.31	BX647329, X68728, M11313	2	ENSG00000175899	NM_000014	OTTHUMG00000150267	103950	P01023
HGNC:23336	A2ML1	alpha-2-macroglobulin-like 1	Approved	CPAMD9	FLJ25179	12p13	AK057908	144568	ENSG00000166535	NM_144670	OTTHUMG00000128499	610627	A8K2U0
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	Approved	A3GALT2P	IGBS3S	1p35.1		127550	ENSG00000184389	NM_001080438	OTTHUMG00000004125		
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase	Approved		A14GALT, Gb3S, P(k)	22q13.2		53947	ENSG00000128274	NM_017436	OTTHUMG00000150744	607922	Q9NPC4
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Approved		alpha4GnT	3p14.3	AF141315	51146	ENSG00000118017	NM_016161	OTTHUMG00000159820		Q9UNA3
HGNC:13666	AAAS	achalasia, adrenocortical insufficiency, alacrimia	Approved			12q13	AJ289841	8086	ENSG00000094914		OTTHUMG00000169729	605378	Q9NRG9
HGNC:21298	AACS	acetoacetyl-CoA synthetase	Approved		FLJ12389, SUR-5, ACSF1	12q24.31	AK022451	65985	ENSG00000081760	NM_023928	OTTHUMG00000168550	614364	Q86V21
HGNC:17	AADAC	arylacetamide deacetylase	Approved		DAC, CES5A1	3q25.1	L32179	13	ENSG00000114771	NM_001086	OTTHUMG00000159876	600338	P22760
HGNC:24427	AADACL2	arylacetamide deacetylase-like 2	Approved		MGC72001	3q25.1	BC065724	344752	ENSG00000197953	NM_207365	OTTHUMG00000155914		Q6P093
HGNC:32037	AADACL3	arylacetamide deacetylase-like 3	Approved		OTTHUMG00000001887	1p36.21		126767	ENSG00000188984	NM_001103170	OTTHUMG00000001887		Q5VUY0
HGNC:32038	AADACL4	arylacetamide deacetylase-like 4	Approved		OTTHUMG00000001889	1p36.21		343066	ENSG00000204518	NM_001013630	OTTHUMG00000001889		Q5VUY2
HGNC:17929	AADAT	aminoadipate aminotransferase	Approved		KATII, KAT2	4q33	AF097994	51166	ENSG00000109576	NM_016228	OTTHUMG00000160912	611754	Q8N5Z0
HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	Approved	C9orf21		9q22.32	BK000255	195827	ENSG00000158122	NM_153698	OTTHUMG00000020299		Q7RTV5
HGNC:25662	AAGAB	alpha- and gamma-adaptin binding protein	Approved		FLJ11506, p34	15q23	AL136715	79719	ENSG00000103591	NM_024666	OTTHUMG00000172246	614888	Q6PD74
HGNC:19679	AAK1	AP2 associated kinase 1	Approved		KIAA1048, DKFZp686K16132	2p13.3	AB028971	22848	ENSG00000115977	NM_014911	OTTHUMG00000129648	616405	Q2M2I8
HGNC:30205	AAMDC	adipogenesis associated, Mth938 domain containing	Approved	C11orf67	PTD015, FLJ21035, CK067	11q14.1	BC016854	28971	ENSG00000087884	NM_024684	OTTHUMG00000166651		Q9H7C9
HGNC:18	AAMP	angio-associated, migratory cell protein	Approved			2q	AB209790	14	ENSG00000127837	NM_001087	OTTHUMG00000155202	603488	Q13685
HGNC:19	AANAT	aralkylamine N-acetyltransferase	Approved		SNAT	17q25.1	U40347	15	ENSG00000129673	NM_001088	OTTHUMG00000180179	600950	Q16613
HGNC:15886	AAR2	AAR2 splicing factor homolog	Approved	C20orf4	bA234K24.2	20q11.23		25980	ENSG00000131043	NM_015511	OTTHUMG00000032380		Q9Y312
HGNC:33842	AARD	alanine and arginine rich domain containing protein	Approved	C8orf85	LOC441376	8q24.11	AB181519, BC140924	441376	ENSG00000205002	NM_001025357	OTTHUMG00000164961		Q4LEZ3
