,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,lendiff,meandiff,totlen
,amin,amin,mean,mean,std,std,amax,amax,len,len,,,
rnd,False,True,False,True,False,True,False,True,False,True,,,
gene_name,,,,,,,,,,,,,
AC007040.1,0.0,-14.7628927231,0.0,-14.7628927231,0.0,0.0,0.0,-14.7628927231,0.0,1.0,-1.0,14.7628927231,1.0
AC011196.3,1.75216293335,-6.67740535736,1.75216293335,-3.33870267868,0.0,4.72163860892,1.75216293335,0.0,1.0,2.0,-1.0,5.09086561203,3.0
AC012072.1,8.2324256897,0.0,8.2324256897,0.0,0.0,0.0,8.2324256897,0.0,1.0,0.0,1.0,8.2324256897,1.0
AC013477.1,-9.37722301483,0.0,-9.37722301483,0.0,0.0,0.0,-9.37722301483,0.0,1.0,0.0,1.0,-9.37722301483,1.0
AC018682.6,7.85135936737,0.0,7.85135936737,0.0,0.0,0.0,7.85135936737,0.0,1.0,0.0,1.0,7.85135936737,1.0
AC026150.6,0.0,0.0,5.02656650543,0.0,7.10863852415,0.0,10.0531330109,0.0,2.0,1.0,1.0,5.02656650543,3.0
AC074212.3,5.74651288986,0.0,5.74651288986,0.0,0.0,0.0,5.74651288986,0.0,1.0,0.0,1.0,5.74651288986,1.0
AC097359.1,0.0,-8.2056388855,0.0,-8.2056388855,0.0,0.0,0.0,-8.2056388855,0.0,1.0,-1.0,8.2056388855,1.0
AC097523.2,0.0,11.7730197906,0.0,11.7730197906,0.0,0.0,0.0,11.7730197906,0.0,1.0,-1.0,-11.7730197906,1.0
AC104695.3,-11.677069664,0.0,-11.677069664,0.0,0.0,0.0,-11.677069664,0.0,1.0,0.0,1.0,-11.677069664,1.0
AC139452.2,-15.5454454422,0.0,-7.7727227211,0.0,10.9922898887,0.0,0.0,0.0,2.0,3.0,-1.0,-7.7727227211,5.0
ACCN5,-11.4496355057,0.0,-11.4496355057,0.0,0.0,0.0,-11.4496355057,0.0,1.0,0.0,1.0,-11.4496355057,1.0
ACOT6,0.0,-5.83563518524,0.0,-5.83563518524,0.0,0.0,0.0,-5.83563518524,0.0,1.0,-1.0,5.83563518524,1.0
ADAMDEC1,0.0,7.99798727036,0.0,7.99798727036,0.0,0.0,0.0,7.99798727036,0.0,1.0,-1.0,-7.99798727036,1.0
AL360169.1,0.0,5.47086524963,0.0,5.47086524963,0.0,0.0,0.0,5.47086524963,0.0,1.0,-1.0,-5.47086524963,1.0
AL627443.1,0.0,-12.2212362289,0.0,-12.2212362289,0.0,0.0,0.0,-12.2212362289,0.0,1.0,-1.0,12.2212362289,1.0
AL773572.7,11.5372371674,0.0,11.5372371674,0.0,0.0,0.0,11.5372371674,0.0,1.0,0.0,1.0,11.5372371674,1.0
ALDOA,0.0,5.29217290878,0.0,5.29217290878,0.0,0.0,0.0,5.29217290878,1.0,1.0,0.0,-5.29217290878,2.0
ANKRD37,0.0,-5.34995317459,0.0,-5.34995317459,0.0,0.0,0.0,-5.34995317459,1.0,1.0,0.0,5.34995317459,2.0
AP000593.6,-7.17213582993,0.0,-7.17213582993,0.0,0.0,0.0,-7.17213582993,0.0,1.0,0.0,1.0,-7.17213582993,1.0
ASCC1,0.0,-6.11843252182,0.0,-6.11843252182,0.0,0.0,0.0,-6.11843252182,1.0,1.0,0.0,6.11843252182,2.0
BCOR,0.0,-14.51583004,0.0,-14.51583004,0.0,0.0,0.0,-14.51583004,0.0,1.0,-1.0,14.51583004,1.0
BX323014.1,0.0,-5.49037790298,0.0,-5.49037790298,0.0,0.0,0.0,-5.49037790298,0.0,1.0,-1.0,5.49037790298,1.0
C14orf86,0.0,9.73290729523,0.0,9.73290729523,0.0,0.0,0.0,9.73290729523,0.0,1.0,-1.0,-9.73290729523,1.0
